Using scaled threading model. 4 processors detected, 4 threads used to drive the workload, in a possible range of [1,64]
4 query batches completed
8 query batches completed
12 query batches completed
16 query batches completed
20 query batches completed
24 query batches completed
28 query batches completed
32 query batches completed
36 query batches completed
40 query batches completed
44 query batches completed
48 query batches completed
52 query batches completed
56 query batches completed
60 query batches completed
64 query batches completed
CLASS, VARIABLE, READS, WRITES, INSTANCES-USE-VARIABLE, INSTANCES-TOTAL
org.apache.lucene.index.SegmentInfo, delCount, 0, 64, 1, 1
org.apache.commons.cli.Parser, eatTheRest, 0, 0, 0, 1
org.apache.commons.cli.Parser, currentOption, 0, 0, 0, 1
org.apache.commons.cli.Parser, options, 1, 1, 1, 1
org.apache.commons.cli.Parser, tokens, 0, 0, 0, 1
org.apache.commons.cli.Parser, cmd, 2, 1, 1, 1
org.apache.commons.cli.Parser, requiredOptions, 1, 1, 1, 1
org.dacapo.harness.TeeOutputStream, toScreen, 430, 4, 2, 2
org.dacapo.harness.TeeOutputStream, log, 1296, 8, 2, 2
org.dacapo.harness.TeeOutputStream, logFile, 4, 2, 2, 2
org.dacapo.harness.TeeOutputStream, version, 0, 2, 2, 2
org.apache.lucene.analysis.standard.StandardAnalyzer, maxTokenLength, 131002, 64, 64, 64
org.apache.lucene.analysis.standard.StandardAnalyzer, replaceInvalidAcronym, 131006, 64, 64, 64
org.apache.lucene.analysis.standard.StandardAnalyzer, stopSet, 131004, 64, 64, 64
org.apache.lucene.index.CompoundFileReader, entries, 1152, 128, 128, 128
org.apache.lucene.index.CompoundFileReader, fileName, 0, 128, 128, 128
org.apache.lucene.index.CompoundFileReader, offset, 1024, 512, 128, 128
org.apache.lucene.index.CompoundFileReader, stream, 2560, 256, 128, 128
org.apache.lucene.index.CompoundFileReader, length, 512, 512, 128, 128
org.apache.lucene.index.CompoundFileReader, readBufferSize, 64, 128, 128, 128
org.apache.lucene.index.CompoundFileReader, directory, 0, 128, 128, 128
org.apache.lucene.store.FSDirectory$FSIndexInput$Descriptor, isOpen, 502, 512, 256, 256
org.apache.lucene.store.FSDirectory$FSIndexInput$Descriptor, length, 0, 256, 256, 256
org.apache.lucene.store.FSDirectory$FSIndexInput$Descriptor, position, 0, 0, 0, 256
org.dacapo.lusearch.Search$QueryThread, parent, 64, 4, 4, 4
org.dacapo.lusearch.Search$QueryThread, totalQueries, 8, 4, 4, 4
org.dacapo.lusearch.Search$QueryThread, outBase, 63, 4, 4, 4
org.dacapo.lusearch.Search$QueryThread, hitsPerPage, 64, 4, 4, 4
org.dacapo.lusearch.Search$QueryThread, threadCount, 72, 4, 4, 4
org.dacapo.lusearch.Search$QueryThread, index, 63, 4, 4, 4
org.dacapo.lusearch.Search$QueryThread, raw, 64, 4, 4, 4
org.dacapo.lusearch.Search$QueryThread, normsField, 64, 4, 4, 4
org.dacapo.lusearch.Search$QueryThread, field, 64, 4, 4, 4
org.dacapo.lusearch.Search$QueryThread, this$0, 64, 4, 4, 4
org.dacapo.lusearch.Search$QueryThread, name, 64, 4, 4, 4
org.dacapo.lusearch.Search$QueryThread, id, 8, 4, 4, 4
org.dacapo.lusearch.Search$QueryThread, queryBase, 64, 4, 4, 4
org.apache.lucene.analysis.standard.StandardTokenizer, input, 0, 131002, 130979, 130977
org.apache.lucene.analysis.standard.StandardTokenizer, maxTokenLength, 131041, 262057, 131000, 130977
org.apache.lucene.analysis.standard.StandardTokenizer, scanner, 655151, 131012, 130988, 130977
org.apache.lucene.analysis.standard.StandardTokenizer, replaceInvalidAcronym, 0, 262005, 130987, 130977
org.dacapo.harness.TeePrintStream, out, 6, 0, 2, 2
org.apache.lucene.document.FieldSelectorResult, id, 0, 7, 7, 7
org.apache.lucene.search.BooleanScorer2$Coordinator, nrMatchers, 0, 0, 0, 36
org.apache.lucene.search.BooleanScorer2$Coordinator, this$0, 36, 36, 36, 36
org.apache.lucene.search.BooleanScorer2$Coordinator, maxCoord, 144, 36, 36, 36
org.apache.lucene.search.BooleanScorer2$Coordinator, coordFactors, 36, 72, 36, 36
org.apache.lucene.search.TermQuery$TermWeight, queryWeight, 1048222, 524140, 262049, 262003
org.apache.lucene.search.TermQuery$TermWeight, similarity, 524154, 262054, 262027, 262003
org.apache.lucene.search.TermQuery$TermWeight, this$0, 786197, 262063, 262038, 262003
org.apache.lucene.search.TermQuery$TermWeight, idf, 524148, 262072, 262052, 262003
org.apache.lucene.search.TermQuery$TermWeight, value, 262086, 262079, 262059, 262003
org.apache.lucene.search.TermQuery$TermWeight, queryNorm, 0, 262076, 262052, 262003
org.apache.lucene.util.PriorityQueue, size, 2309441, 443347, 262083, 262081
org.apache.lucene.util.PriorityQueue, maxSize, 177831, 262108, 262082, 262081
org.apache.lucene.util.PriorityQueue, heap, 2927101, 262109, 262091, 262081
org.apache.lucene.store.BufferedIndexInput, file, 0, 0, 0, 33785
org.apache.lucene.store.BufferedIndexInput, bufferLength, 63292297, 1415161, 33773, 33785
org.apache.lucene.store.BufferedIndexInput, bufferPosition, 134468798, 64160457, 33775, 33785
org.apache.lucene.store.BufferedIndexInput, buffer, 63033479, 541695, 17117, 33785
org.apache.lucene.store.BufferedIndexInput, bufferStart, 2251210, 1415198, 33777, 33785
org.apache.lucene.store.BufferedIndexInput, isClone, 0, 0, 0, 33785
org.apache.lucene.store.BufferedIndexInput, bufferSize, 246605, 1536, 17039, 33785
org.dacapo.harness.Benchmark, loader, 6, 1, 1, 1
org.dacapo.harness.Benchmark, name, 5, 0, 1, 1
org.dacapo.harness.Benchmark, iteration, 3, 2, 1, 1
org.dacapo.harness.Benchmark, savedClassLoader, 2, 2, 1, 1
org.dacapo.harness.Benchmark, scratch, 208, 1, 1, 1
org.dacapo.harness.Benchmark, jar, 2, 0, 1, 1
org.dacapo.harness.Benchmark, libs, 6, 0, 1, 1
org.dacapo.harness.Benchmark, config, 544, 1, 1, 1
org.dacapo.harness.Benchmark, benchmark, 0, 0, 0, 1
